Resource,Column,Example,Many
Practitioner,name - family,THACH,True
Practitioner,name - suffix,[],True
Practitioner,name - use,official,True
Practitioner,telecom - system,phone,True
Practitioner,telecom - value,4157598536,True
Practitioner,telecom - use,practice,True
Practitioner,address - line,"['2690 38TH AVE', 'N']",True
Practitioner,address - city,SAN FRANCISCO,True
Practitioner,address - state,CA,True
Practitioner,address - postalCode,94116,True
Practitioner,address - country,US,True
Practitioner,address - type,physical,True
Practitioner,address - use,work,True
Practitioner,gender,female,
Practitioner,qualification - code,"{'coding': [{'system': 'http://nucc.org/provider-taxonomy', 'code': '171M00000X', 'display': 'Case Manager/Care Coordinator'}], 'text': 'Case Manager/Care Coordinator'}",True
Practitioner,communication,,
PractitionerRole,resourceType,PractitionerRole,
PractitionerRole,id,PractitionerRole-00008a30-5b57-4b53-b86e-f783ae69fbd7,
PractitionerRole,meta - lastUpdated,2026-04-09T11:50:56.821928Z,
PractitionerRole,extension - newpatients,True,
PractitionerRole,active,True,
PractitionerRole,practitioner - reference,Practitioner/Practitioner-1427155027,
PractitionerRole,organization - reference,Organization/Organization-1518732023,
PractitionerRole,specialty - coding,"[{'system': 'https://www.cms.gov/files/document/acceptable-physician-specialty-types-py-2025.pdf', 'code': '14-77', 'display': 'PRACTITIONER - VASCULAR SURGERY'}]",True
PractitionerRole,specialty - text,PRACTITIONER - VASCULAR SURGERY,True
PractitionerRole,location - reference,Location/Location-84b971d6-be1f-4fce-add8-3a5ddc3755c6,True
PractitionerRole,telecom - system,phone,True
PractitionerRole,telecom - value,4693417800,True
PractitionerRole,telecom - use,practice,True
PractitionerRole,period,,
PractitionerRole,endpoint,,
